Data,		Balance,	Cost,	Mark	
2018-08-14,	0,			0,		0
2018-08-16,	210,		0,		0
2018-08-18,	160,		0,		0
2018-08-20,	450,		0,		0
2018-08-21,	590,		0,		0
2018-08-22,	1060,		0,		0
2018-08-23,	1055,		0,		0
2018-08-24,	992,		0,		0
2018-08-25,	1850,		0,		0
2018-08-26,	30,			0,		0
2018-08-27,	179,		0,		0
2018-08-28,	280,		0,		0
2018-08-30,	100,		0,		0
2018-08-31,	0,			500,	0
2018-09-02,	260,		0,		0
2018-09-03,	20,			0,		0
2018-09-04,	50,			0,		0
2018-09-06,	0,			300,	0
2018-09-07,	170,		0,		0
2018-09-09,	410,		0,		0
2018-09-10,	309,		0,		0
2018-09-11,	406,		-300,	0
2018-09-12,	200,		0,		0
2018-09-14,	400,		300,	0
2018-09-16,	300,		300,	0
2018-09-17,	160,		0,		0
2018-09-18,	231,		-300,	0
2018-09-19,	315,		0,		0
2018-09-20,	197,		0,		0
2018-09-21,	229,		0,		0
2018-09-22,	130,		500,	0
2018-09-24,	0,			0,		0
2018-09-25,	560,		500,	0
2018-09-27,	220,		-500,	0
2018-09-28,	321,		0,		0
2018-09-28,	336,		0,		0